Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
60,O3,Ozone (O3) mole fraction in wet air,nmolO3 mol-1,0,NA,NA,NA,NA,8,1,-1.57E+00,-1.63E+00,9.20E+01,9.20E+01,1.52E+01,15.1385,19.210725,19.227
61,P,Precipitation,mm,0,50,52.5,-2.5,50,303,273,0.00E+00,0.00E+00,1.62E+01,1.66E+01,NA,NA,NA,NA
62,P_RAIN,Rainfall,mm,0,50,52.5,-2.5,50,77,66,0.00E+00,0.00E+00,2.51E+01,4.44E+01,NA,NA,NA,NA
63,P_SNOW,Snowfall,mm,0,50,52.5,-2.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,PA,Atmospheric pressure,kPa,60,105,107.25,57.75,45,400,365,6.67E+01,5.65E+01,1.05E+02,1.06E+02,1.61E-01,0.07329275,1.601,4.3
65,PBLH,Planetary boundary layer height,m,0,3000,3150,-150,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,PCH4,Dissolved methane (CH4) in water,nmolCH4 mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,PCO2,Dissolved carbon dioxide (CO2) in water,µmolCO2 mol-1,0,10000,10500,-500,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,PN2O,Dissolved nitrous oxide (N2O) in water,nmolN2O mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,PPFD_BC_IN,"Photosynthetic photon flux density, below canopy incoming",µmolPhoton m-2 s-1,0,2400,2520,-120,2400,152,57,-8.91E+00,-1.75E+01,2.31E+03,2.46E+03,4.83E+00,3.22,754.8616,784.5
70,PPFD_BC_OUT,"Photosynthetic photon flux density, below canopy outgoing",µmolPhoton m-2 s-1,0,2000,2100,-100,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,PPFD_DIF,"Photosynthetic photon flux density, diffuse incoming",µmolPhoton m-2 s-1,0,1400,1470,-70,1400,34,34,-7.24E+00,-8.90E+00,1.38E+03,1.38E+03,1.32E+02,131.4,271.5573965,275.0237
72,PPFD_DIR,"Photosynthetic photon flux density, direct incoming",µmolPhoton m-2 s-1,0,2400,2520,-120,2400,11,11,-4.59E+01,-5.08E+01,2.17E+03,2.17E+03,6.67E+01,65.6345,1109.75,1111.4
73,PPFD_IN,"Photosynthetic photon flux density, incoming",µmolPhoton m-2 s-1,0,2400,2520,-120,2400,598,331,-2.38E+01,-6.50E+01,2.31E+03,2.51E+03,1.57E+01,5.37,1027.583893,1123.91
74,PPFD_OUT,"Photosynthetic photon flux density, outgoing",µmolPhoton m-2 s-1,0,2000,2100,-100,2000,211,184,-2.39E+01,-5.32E+01,1.46E+03,1.90E+03,1.57E+01,0,146.81775,169.125
75,PPFD_UW_IN,"Photosynthetic photon flux density, underwater, incoming",µmolPhotons m-2 s-1,0,2400,2520,-120,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,PRI,Photochemical Reflectance Index,nondimensional,-1,1,1.1,-1.1,2,5,5,-9.96E-01,-1.00E+00,9.88E-01,1.00E+00,7.08E-02,0.069,0.2686816,0.27196
77,R_UVA,"UVA radiation, incoming",W m-2,0,85,89.25,-4.25,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,R_UVB,"UVB radiation, incoming",W m-2,0,20,21,-1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,RECO,Ecosystem Respiration,µmolCO2 m-2 s-1,-20,50,53.5,-23.5,70,101,90,-1.40E+01,-1.41E+01,3.04E+01,4.46E+01,3.60E-01,0.186755,5.2,7.4701898
